[12:43:26]  COMMAND	POST 	 "/wd/hub/session"
[12:43:53]  COMMAND	POST 	 "/wd/hub/session/92e9c953-d7eb-4ee7-88ab-f47a33f7c7e3/element"
[12:43:53]  DATA		{"using":"xpath","value":"//android.widget.Button[contains(@text,'Login')]"}
[12:43:54]  RESULT		{"ELEMENT":"70008550-0a06-4658-9c67-9a61d1ff3a07"}
[12:43:54]  COMMAND	POST 	 "/wd/hub/session/92e9c953-d7eb-4ee7-88ab-f47a33f7c7e3/element/70008550-0a06-4658-9c67-9a61d1ff3a07/click"
[12:43:54]  DATA		{}
[12:43:54]  RESULT		true
[12:43:54]  COMMAND	POST 	 "/wd/hub/session/92e9c953-d7eb-4ee7-88ab-f47a33f7c7e3/element"
[12:43:54]  DATA		{"using":"xpath","value":"//*[@resource-id='alert-msg-0']"}
[12:43:55]  COMMAND	POST 	 "/wd/hub/session/92e9c953-d7eb-4ee7-88ab-f47a33f7c7e3/elements"
[12:43:55]  DATA		{"using":"xpath","value":"//*[@resource-id='alert-msg-0']"}
[12:43:56]  RESULT		[{"ELEMENT":"68d4b6c0-5470-4a14-8a21-df7ee664d3d6"}]
[12:43:56]  COMMAND	GET 	 "/wd/hub/session/92e9c953-d7eb-4ee7-88ab-f47a33f7c7e3/screenshot"
[12:43:56]  DATA		{}
[12:43:57]  RESULT		"iVBORw0KGgoAAAANSUhEUgAABaAAAAtACAIAAABhuRNAAAAAAXNSR0IArs4c6QAAAANzQklUCAgI\n2+FP4AAAIABJREFUeJzsvdmPLMt23hdZVT3P3XveZ+99zrkT7yUtXkmULIkaIFsiadESaPnFBgzw\nnzNgGDZg2A+UYMkaTL8QsgyZJkWKurzD2WfPQ89zd6U ... (300822 more bytes)
[12:43:57]  COMMAND	POST 	 "/wd/hub/session/92e9c953-d7eb-4ee7-88ab-f47a33f7c7e3/element"
[12:43:57]  DATA		{"using":"xpath","value":"//*[@resource-id='alert-msg-0']"}
[12:43:57]  RESULT		{"ELEMENT":"3426244a-3245-41b0-8248-b621add727ae"}
[12:43:57]  COMMAND	GET 	 "/wd/hub/session/92e9c953-d7eb-4ee7-88ab-f47a33f7c7e3/element/3426244a-3245-41b0-8248-b621add727ae/text"
[12:43:57]  DATA		{}
[12:43:57]  RESULT		"Enter correct credentials !!"
[12:43:58]  COMMAND	DELETE 	 "/wd/hub/session/92e9c953-d7eb-4ee7-88ab-f47a33f7c7e3"
[12:43:58]  DATA		{}
